zip_code,procedure_code,drug_name
33305,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33305,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33305,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33305,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33305,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33305,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33305,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33305,70954006020,predniSONE 20MG Tablet
33306,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33306,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33306,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33306,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33306,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33306,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33306,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33306,70954006020,predniSONE 20MG Tablet
33308,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33308,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33308,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33308,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33308,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33308,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33308,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33308,70954006020,predniSONE 20MG Tablet
33309,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33309,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33309,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33309,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33309,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33309,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33309,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33310,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33310,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33310,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33310,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33310,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33310,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33310,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33311,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33311,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33311,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33311,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33311,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33311,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33311,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33312,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33312,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33312,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33312,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33312,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33312,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33312,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33312,13668013610,Escitalopram Oxalate 10MG Tablet
33312,13668013710,Escitalopram Oxalate 20MG Tablet
33313,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33313,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33313,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33313,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33313,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33313,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33313,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33314,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33314,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33314,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33314,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33314,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33314,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33314,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33315,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33315,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33315,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33315,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33315,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33315,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33315,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33316,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33316,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33316,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33316,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33316,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33316,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33316,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33316,70954006020,predniSONE 20MG Tablet
33317,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33317,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33317,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33317,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33317,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33317,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33317,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33317,70954006020,predniSONE 20MG Tablet
33319,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33319,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33319,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33319,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33319,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33319,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33319,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33319,13668013610,Escitalopram Oxalate 10MG Tablet
33319,13668013710,Escitalopram Oxalate 20MG Tablet
33321,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33321,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33321,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33321,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33321,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33321,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33321,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33322,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33322,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33322,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33322,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33322,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33322,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33322,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33323,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33323,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33323,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33323,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33323,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33323,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
33323,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
33323,597015230,Jardiance 10MG Tablet
33323,597015330,Jardiance 25MG Tablet
33323,13668013610,Escitalopram Oxalate 10MG Tablet
33323,13668013710,Escitalopram Oxalate 20MG Tablet
33323,50111056003,traZODone HCl 50MG Tablet
33323,57237000511,Fluconazole 150MG Tablet
33323,61958250101,Biktarvy 50-200-25MG Tablet
33324,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
33324,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
33324,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
33324,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
33324,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
33324,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
