2025-07-01 20:58:48,418 - ERROR - ❌ Failed to get data for Fluconazole 150MG Tablet in 43032 (Total failures: 1, Consecutive: 1)
2025-07-01 21:20:09,967 - ERROR - ❌ Failed to get data for Fluticasone Propionate 50MCG/ACT Suspension in 43032 (Total failures: 2, Consecutive: 1)
2025-07-01 21:41:46,491 - ERROR - ❌ Failed to get data for metFORMIN HCl 500MG Tablet in 43032 (Total failures: 3, Consecutive: 1)
2025-07-01 22:03:19,411 - ERROR - ❌ Failed to get data for Losartan Potassium 100MG Tablet in 43032 (Total failures: 4, Consecutive: 1)
2025-07-01 22:24:55,660 - ERROR - ❌ Failed to get data for Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution in 43032 (Total failures: 5, Consecutive: 1)
2025-07-01 22:46:24,084 - ERROR - ❌ Failed to get data for hydroCHLOROthiazide 25MG Tablet in 43032 (Total failures: 6, Consecutive: 1)
2025-07-01 23:08:24,161 - ERROR - ❌ Failed to get data for Mounjaro 12.5MG/0.5ML Solution Pen-injector in 43032 (Total failures: 7, Consecutive: 1)
2025-07-01 23:29:57,695 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 43032 (Total failures: 8, Consecutive: 1)
2025-07-01 23:51:41,358 - ERROR - ❌ Failed to get data for Metoprolol Succinate ER 25MG Tablet Extended Release 24 HR in 43032 (Total failures: 9, Consecutive: 1)
2025-07-02 00:14:00,940 - ERROR - ❌ Failed to get data for Insulin Lispro (1 Unit Dial) 100UNIT/ML Solution Pen-injector in 43032 (Total failures: 10, Consecutive: 1)
2025-07-02 00:35:10,900 - ERROR - ❌ Failed to get data for Sulfamethoxazole-Trimethoprim 800-160MG Tablet in 43032 (Total failures: 11, Consecutive: 1)
2025-07-02 00:56:45,397 - ERROR - ❌ Failed to get data for Pantoprazole Sodium 40MG Tablet Delayed Release in 43032 (Total failures: 12, Consecutive: 1)
2025-07-02 01:18:15,030 - ERROR - ❌ Failed to get data for busPIRone HCl 10MG Tablet in 43032 (Total failures: 13, Consecutive: 1)
2025-07-02 01:40:00,083 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 43032 (Total failures: 14, Consecutive: 1)
2025-07-02 02:02:09,413 - ERROR - ❌ Failed to get data for Amoxicillin 500MG Capsule in 43032 (Total failures: 15, Consecutive: 1)
2025-07-02 02:23:49,588 - ERROR - ❌ Failed to get data for Atorvastatin Calcium 20MG Tablet in 43032 (Total failures: 16, Consecutive: 1)
2025-07-02 02:45:31,945 - ERROR - ❌ Failed to get data for amLODIPine Besylate 5MG Tablet in 43032 (Total failures: 17, Consecutive: 1)
2025-07-02 03:06:53,743 - ERROR - ❌ Failed to get data for Escitalopram Oxalate 20MG Tablet in 43032 (Total failures: 18, Consecutive: 1)
2025-07-02 03:28:27,009 - ERROR - ❌ Failed to get data for Sprintec 28 0.25-35MG-MCG Tablet in 43032 (Total failures: 19, Consecutive: 1)
2025-07-02 03:49:10,696 - ERROR - ❌ Failed to get data for Buprenorphine HCl-Naloxone HCl 8-2MG Film in 43032 (Total failures: 20, Consecutive: 1)
2025-07-02 04:04:02,980 - ERROR - ❌ Failed to get data for Ibuprofen 800MG Tablet in 43032 (Total failures: 21, Consecutive: 1)
2025-07-02 04:25:54,828 - ERROR - ❌ Failed to get data for Atorvastatin Calcium 10MG Tablet in 43032 (Total failures: 22, Consecutive: 1)
2025-07-02 04:47:38,564 - ERROR - ❌ Failed to get data for Atorvastatin Calcium 20MG Tablet in 43032 (Total failures: 23, Consecutive: 1)
2025-07-02 05:09:22,542 - ERROR - ❌ Failed to get data for Losartan Potassium 50MG Tablet in 43032 (Total failures: 24, Consecutive: 1)
2025-07-02 05:30:59,391 - ERROR - ❌ Failed to get data for traZODone HCl 50MG Tablet in 43032 (Total failures: 25, Consecutive: 1)
2025-07-02 05:52:43,826 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 43032 (Total failures: 26, Consecutive: 1)
2025-07-02 06:14:23,254 - ERROR - ❌ Failed to get data for Omeprazole 40MG Capsule Delayed Release in 43032 (Total failures: 27, Consecutive: 1)
2025-07-02 06:35:49,782 - ERROR - ❌ Failed to get data for Biktarvy 50-200-25MG Tablet in 43032 (Total failures: 28, Consecutive: 1)
2025-07-02 06:55:58,460 - ERROR - ❌ Failed to get data for Losartan Potassium 100MG Tablet in 43032 (Total failures: 29, Consecutive: 1)
2025-07-02 07:17:58,796 - ERROR - ❌ Failed to get data for Lo Loestrin Fe 1 MG-10 MCG /10 MCG Tablet in 43032 (Total failures: 30, Consecutive: 1)
2025-07-02 07:38:42,934 - ERROR - ❌ Failed to get data for Dupixent 300MG/2ML Solution Pen-injector in 43032 (Total failures: 31, Consecutive: 1)
2025-07-02 07:50:38,000 - ERROR - ❌ Failed to get data for DULoxetine HCl 60MG Capsule Delayed Release Particles in 43032 (Total failures: 32, Consecutive: 1)
2025-07-02 08:13:01,869 - ERROR - ❌ Failed to get data for Azithromycin 250MG Tablet in 43032 (Total failures: 33, Consecutive: 1)
2025-07-02 08:35:09,722 - ERROR - ❌ Failed to get data for Losartan Potassium 50MG Tablet in 43032 (Total failures: 34, Consecutive: 1)
2025-07-02 08:56:58,359 - ERROR - ❌ Failed to get data for Omeprazole 20MG Capsule Delayed Release in 43032 (Total failures: 35, Consecutive: 1)
2025-07-02 09:18:56,514 - ERROR - ❌ Failed to get data for Amoxicillin 875MG Tablet in 43032 (Total failures: 36, Consecutive: 1)
2025-07-02 09:42:11,141 - ERROR - ❌ Failed to get data for Sertraline HCl 100MG Tablet in 43032 (Total failures: 37, Consecutive: 1)
2025-07-02 10:04:27,928 - ERROR - ❌ Failed to get data for Metoprolol Succinate ER 50MG Tablet Extended Release 24 HR in 43032 (Total failures: 38, Consecutive: 1)
2025-07-02 10:26:32,918 - ERROR - ❌ Failed to get data for methylPREDNISolone 4MG Tablet Therapy Pack in 43032 (Total failures: 39, Consecutive: 1)
2025-07-02 10:48:20,211 - ERROR - ❌ Failed to get data for buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR in 43032 (Total failures: 40, Consecutive: 1)
2025-07-02 11:10:15,869 - ERROR - ❌ Failed to get data for Meloxicam 15MG Tablet in 43032 (Total failures: 41, Consecutive: 1)
2025-07-02 11:32:43,477 - ERROR - ❌ Failed to get data for amLODIPine Besylate 10MG Tablet in 43032 (Total failures: 42, Consecutive: 1)
2025-07-02 11:54:54,663 - ERROR - ❌ Failed to get data for busPIRone HCl 5MG Tablet in 43032 (Total failures: 43, Consecutive: 1)
2025-07-02 12:17:05,461 - ERROR - ❌ Failed to get data for amLODIPine Besylate 5MG Tablet in 43032 (Total failures: 44, Consecutive: 1)
2025-07-02 12:38:57,359 - ERROR - ❌ Failed to get data for Omnipod 5 G6 Pod (Gen 5)  Miscellaneous in 43032 (Total failures: 45, Consecutive: 1)
2025-07-02 12:59:19,414 - ERROR - ❌ Failed to get data for Trelegy Ellipta 100-62.5-25MCG/ACT Aerosol Powder, Breath Activated in 43032 (Total failures: 46, Consecutive: 1)
2025-07-02 13:20:26,256 - ERROR - ❌ Failed to get data for Basaglar KwikPen 100UNIT/ML Solution Pen-injector in 43032 (Total failures: 47, Consecutive: 1)
2025-07-02 13:42:02,705 - ERROR - ❌ Failed to get data for Budesonide-Formoterol Fumarate 160-4.5MCG/ACT Aerosol in 43032 (Total failures: 48, Consecutive: 1)
