code,excel_avg_unit_price,csv_drug_name,csv_total_benefit_amount,csv_benefit_percentage,csv_claim_count
13668013610,0.3154074074074074,Escitalopram Oxalate 10MG Tablet,"  7,732 ",0.03%,274
13668013710,0.3084166666666667,Escitalopram Oxalate 20MG Tablet,"  8,526 ",0.03%,248
16571086250,0.6707777777777777,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,"  8,185 ",0.03%,253
16571086350,0.6845,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,"  9,060 ",0.03%,263
173088710,12.018400000000002,"Trelegy Ellipta 100-62.5-25MCG/ACT Aerosol Powder, Breath Activated","  92,801 ",0.33%,137
2771559,7.235466666666667,Basaglar KwikPen 100UNIT/ML Solution Pen-injector,"  58,518 ",0.21%,134
27808023302,1.0921428571428569,Doxycycline Hyclate 100MG Capsule,"  4,810 ",0.02%,198
2822259,11.568666666666667,Insulin Lispro (1 Unit Dial) 100UNIT/ML Solution Pen-injector,"  42,445 ",0.15%,175
29300012510,0.6110833333333333,Meloxicam 15MG Tablet,"  2,834 ",0.01%,141
29300024405,0.32279166666666664,busPIRone HCl 5MG Tablet,"  2,720 ",0.01%,140
29300024505,0.34762499999999996,busPIRone HCl 10MG Tablet,"  5,125 ",0.02%,171
29300039705,0.27511111111111114,amLODIPine Besylate 5MG Tablet,"  1,717 ",0.01%,164
29300039710,0.27511111111111114,amLODIPine Besylate 5MG Tablet,"  2,338 ",0.01%,222
3089421,10.760933333333334,Eliquis 5MG Tablet,"  389,330 ",1.38%,548
310737020,17.117254901960784,Budesonide-Formoterol Fumarate 160-4.5MCG/ACT Aerosol,"  28,571 ",0.10%,134
31722070110,0.2839259259259259,Losartan Potassium 50MG Tablet,"  2,050 ",0.01%,159
31722070210,0.31037037037037035,Losartan Potassium 100MG Tablet,"  3,306 ",0.01%,181
31722071310,0.2955,Pantoprazole Sodium 40MG Tablet Delayed Release,"  5,030 ",0.02%,289
31722072610,0.31230555555555556,Montelukast Sodium 10MG Tablet,"  11,097 ",0.04%,517
378668910,0.2955,Pantoprazole Sodium 40MG Tablet Delayed Release,"  2,981 ",0.01%,173
406012301,0.48091111111111107,HYDROcodone-Acetaminophen 5-325MG Tablet,"  3,572 ",0.01%,169
42806041405,0.6707777777777777,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,"  6,563 ",0.02%,201
42806041605,0.6845,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,"  4,482 ",0.02%,141
42806054701,0.8902083333333334,Vitamin D (Ergocalciferol) 1.25 MG(50000 UT) Capsule,"  3,350 ",0.01%,287
