zip,lat,lon,state,policy_count,running_sum,running_percentage
32780,28.548877,-80.853421,FL,30,30,3.35
32796,28.625287,-80.845853,FL,19,49,5.47
32909,27.933086,-80.638504,FL,14,63,7.04
32935,28.145549,-80.649969,FL,14,77,8.60
32955,28.28714,-80.723065,FL,14,91,10.17
32927,28.457509,-80.812888,FL,12,103,11.51
33936,26.593573,-81.661922,FL,12,115,12.85
32904,28.0665,-80.678441,FL,11,126,14.08
32905,28.031367,-80.600412,FL,11,137,15.31
32218,30.47548,-81.67602,FL,10,147,16.42
32244,30.220302,-81.747414,FL,10,157,17.54
32250,30.280143,-81.416506,FL,10,167,18.66
32707,28.661468,-81.313989,FL,10,177,19.78
32809,28.463682,-81.394771,FL,10,187,20.89
32092,29.921998,-81.504509,FL,9,196,21.90
32708,28.686894,-81.273258,FL,9,205,22.91
32754,28.699314,-80.895344,FL,9,214,23.91
32907,28.017577,-80.659539,FL,9,223,24.92
33570,27.69913,-82.45263,FL,9,232,25.92
34787,28.484973,-81.619298,FL,9,241,26.93
32046,30.670745,-81.894528,FL,8,249,27.82
32951,28.06835,-80.56033,FL,8,257,28.72
33558,28.165519,-82.511384,FL,8,265,29.61
32569,30.40992,-86.66301,FL,7,272,30.39
32724,29.05725,-81.225582,FL,7,279,31.17
32901,28.079357,-80.623618,FL,7,286,31.96
32908,27.95504,-80.692096,FL,7,293,32.74
32926,28.386561,-80.799662,FL,7,300,33.52
33351,26.17937,-80.274599,FL,7,307,34.30
34240,27.364656,-82.318479,FL,7,314,35.08
32034,30.609692,-81.49172,FL,6,320,35.75
32246,30.293273,-81.50916,FL,6,326,36.42
32311,30.382208,-84.174237,FL,6,332,37.09
32583,30.577638,-86.966835,FL,6,338,37.77
32714,28.662559,-81.411756,FL,6,344,38.44
32824,28.43522,-81.349743,FL,6,350,39.11
33543,28.211232,-82.297428,FL,6,356,39.78
34288,27.05384,-82.111667,FL,6,362,40.45
34639,28.26543,-82.423239,FL,6,368,41.12
34688,28.147125,-82.678972,FL,6,374,41.79
34772,28.172669,-81.26899,FL,6,380,42.46
34786,28.481031,-81.543979,FL,6,386,43.13
32040,30.302616,-82.190828,FL,5,391,43.69
32257,30.191737,-81.603557,FL,5,396,44.25
32259,30.081182,-81.544485,FL,5,401,44.80
32301,30.427753,-84.258472,FL,5,406,45.36
32303,30.515517,-84.341629,FL,5,411,45.92
32765,28.666574,-81.207353,FL,5,416,46.48
32937,28.17612,-80.59005,FL,5,421,47.04
32940,28.216262,-80.697829,FL,5,426,47.60
32950,28.00363,-80.56561,FL,5,431,48.16
32953,28.358119,-80.696838,FL,5,436,48.72
33173,25.701518,-80.357892,FL,5,441,49.27
33308,26.188511,-80.104988,FL,5,446,49.83
33470,26.726784,-80.320037,FL,5,451,50.39
33647,28.127834,-82.350338,FL,5,456,50.95
34112,26.118429,-81.736052,FL,5,461,51.51
34433,29.002221,-82.524892,FL,5,466,52.07
32043,29.998318,-81.76468,FL,4,470,52.51
32097,30.659689,-81.683649,FL,4,474,52.96
32225,30.331905,-81.50091,FL,4,478,53.41
32308,30.47745,-84.226927,FL,4,482,53.85
32312,30.572171,-84.21548,FL,4,486,54.30
32404,30.14697,-85.521142,FL,4,490,54.75
32563,30.396879,-87.028822,FL,4,494,55.20
32771,28.793491,-81.299169,FL,4,498,55.64
32817,28.589077,-81.227652,FL,4,502,56.09
32837,28.390234,-81.433155,FL,4,506,56.54
32922,28.373,-80.742906,FL,4,510,56.98
32952,28.358119,-80.696838,FL,4,514,57.43
33569,27.846419,-82.301249,FL,4,518,57.88
33604,28.014096,-82.449816,FL,4,522,58.32
33637,28.047044,-82.363024,FL,4,526,58.77
33993,26.678619,-82.025384,FL,4,530,59.22
34473,29.005695,-82.18395,FL,4,534,59.66
34684,28.084797,-82.725257,FL,4,538,60.11
34711,28.584025,-81.779423,FL,4,542,60.56
34734,28.538407,-81.520774,FL,4,546,61.01
34746,28.243011,-81.400997,FL,4,550,61.45
32082,30.125226,-81.369578,FL,3,553,61.79
32164,29.486141,-81.204491,FL,3,556,62.12
32207,30.290839,-81.631465,FL,3,559,62.46
32210,30.274539,-81.786671,FL,3,562,62.79
32211,30.347139,-81.581959,FL,3,565,63.13
