zip,lat,lon,state,policy_count,running_sum,running_percentage
30401,32.569871,-82.346181,GA,104,104,2.91
31904,32.534374,-84.99698,GA,88,192,5.38
30677,33.8629,-83.40877,GA,76,268,7.51
30004,34.112373,-84.30205,GA,52,320,8.97
31907,32.483084,-84.914976,GA,49,369,10.34
30040,34.232095,-84.157975,GA,45,414,11.60
30062,33.982269,-84.48803,GA,45,459,12.86
30014,33.529341,-83.849622,GA,43,502,14.07
31326,32.285205,-81.287526,GA,43,545,15.27
30269,33.395759,-84.568173,GA,41,586,16.42
31909,32.542198,-84.920187,GA,41,627,17.57
31643,30.78944,-83.587777,GA,39,666,18.66
30606,33.951348,-83.43064,GA,38,704,19.73
31015,31.919861,-83.777354,GA,36,740,20.73
30114,34.250547,-84.49093,GA,34,774,21.69
30075,34.055198,-84.370475,GA,33,807,22.61
31906,32.493455,-84.95328,GA,33,840,23.54
30534,34.453661,-84.155043,GA,32,872,24.43
30016,33.514565,-83.862612,GA,29,901,25.25
30127,33.91351,-84.685885,GA,29,930,26.06
30506,34.336238,-83.860031,GA,29,959,26.87
30076,34.027783,-84.320162,GA,28,987,27.65
30144,34.03384,-84.597433,GA,28,1015,28.44
30025,33.679092,-83.683477,GA,27,1042,29.20
30044,33.941847,-84.070567,GA,27,1069,29.95
30518,34.113712,-84.033984,GA,26,1095,30.68
30043,34.00309,-84.012608,GA,25,1120,31.38
30622,33.901988,-83.518452,GA,25,1145,32.08
30102,34.07068,-84.589406,GA,24,1169,32.75
30126,33.833161,-84.603102,GA,23,1192,33.40
30019,33.988309,-83.879494,GA,22,1214,34.02
30022,34.02679,-84.242235,GA,22,1236,34.63
30024,34.042479,-84.026171,GA,22,1258,35.25
30120,34.200787,-84.847108,GA,22,1280,35.86
31820,32.565782,-84.850953,GA,22,1302,36.48
30045,33.936729,-83.957347,GA,21,1323,37.07
30066,34.024849,-84.498365,GA,21,1344,37.66
30188,34.127398,-84.481787,GA,21,1365,38.25
31525,31.280403,-81.530477,GA,21,1386,38.83
