zip,lat,lon,state,policy_count,running_sum,running_percentage
43560,41.6929,-83.727737,OH,923,923,9.64
43551,41.535057,-83.577701,OH,227,1150,12.01
44857,41.204562,-82.573222,OH,194,1344,14.04
43615,41.6496,-83.678586,OH,188,1532,16.00
43623,41.702945,-83.650062,OH,166,1698,17.73
44883,41.12453,-83.144773,OH,144,1842,19.24
43613,41.703548,-83.606235,OH,140,1982,20.70
43617,41.66765,-83.722437,OH,130,2112,22.06
43537,41.571251,-83.685036,OH,115,2227,23.26
43614,41.609041,-83.633941,OH,110,2337,24.41
44830,41.157,-83.41687,OH,104,2441,25.49
43402,41.376449,-83.613714,OH,102,2543,26.56
43081,40.10447,-82.896457,OH,94,2637,27.54
45840,41.015219,-83.664786,OH,90,2727,28.48
43229,40.095713,-82.962671,OH,87,2814,29.39
43528,41.628501,-83.751138,OH,85,2899,30.28
43130,39.68965,-82.609282,OH,83,2982,31.14
43606,41.674099,-83.604535,OH,77,3059,31.95
43068,39.951513,-82.802896,OH,73,3132,32.71
43232,39.922663,-82.85664,OH,73,3205,33.47
43230,40.034713,-82.872611,OH,66,3271,34.16
43207,39.86905,-82.958539,OH,64,3335,34.83
43015,40.289886,-82.981095,OH,63,3398,35.49
43026,40.0334,-83.15825,OH,63,3461,36.15
45807,40.795463,-84.138298,OH,62,3523,36.79
45013,39.436146,-84.618498,OH,54,3577,37.36
43147,39.88423,-82.7535,OH,53,3630,37.91
43110,39.821343,-82.764939,OH,52,3682,38.45
43420,41.35622,-83.133981,OH,52,3734,39.00
43209,39.953616,-82.930721,OH,49,3783,39.51
43612,41.708462,-83.549232,OH,49,3832,40.02
45805,40.733043,-84.169749,OH,47,3879,40.51
43235,40.118363,-83.027626,OH,46,3925,40.99
43558,41.58866,-83.89105,OH,46,3971,41.47
43566,41.513751,-83.765287,OH,46,4017,41.95
45365,40.293558,-84.209198,OH,45,4062,42.42
43050,40.37066,-82.481346,OH,44,4106,42.88
43055,40.119897,-82.377784,OH,44,4150,43.34
43123,39.88145,-83.09296,OH,44,4194,43.80
43228,39.966378,-83.125661,OH,44,4238,44.26
43512,41.296657,-84.390413,OH,43,4281,44.71
43571,41.509602,-83.801789,OH,43,4324,45.16
45331,40.156478,-84.649068,OH,43,4367,45.61
45833,40.794444,-84.311596,OH,42,4409,46.05
43202,40.019812,-83.0151,OH,38,4447,46.44
43605,41.652548,-83.508482,OH,38,4485,46.84
44870,41.399129,-82.724417,OH,38,4523,47.24
43224,40.04266,-82.964856,OH,37,4560,47.62
43616,41.656948,-83.44433,OH,37,4597,48.01
43040,40.267651,-83.376632,OH,36,4633,48.39
43082,40.149185,-82.884874,OH,36,4669,48.76
43204,39.961292,-83.081964,OH,36,4705,49.14
44820,40.832674,-82.973876,OH,35,4740,49.50
45801,40.772147,-84.0471,OH,35,4775,49.87
44035,41.371396,-82.105112,OH,34,4809,50.22
45044,39.482346,-84.410917,OH,34,4843,50.58
45215,39.235279,-84.461949,OH,34,4877,50.93
43004,39.99562,-82.81129,OH,33,4910,51.28
43016,40.09746,-83.150103,OH,33,4943,51.62
44406,41.008621,-80.822094,OH,33,4976,51.97
45342,39.641658,-84.27464,OH,33,5009,52.31
44514,41.009287,-80.618344,OH,32,5041,52.65
45503,39.963784,-83.77139,OH,32,5073,52.98
43227,39.944059,-82.890437,OH,31,5104,53.31
43449,41.53653,-83.144869,OH,31,5135,53.63
43609,41.624749,-83.584234,OH,31,5166,53.95
43214,40.051734,-83.016269,OH,29,5195,54.26
43119,39.91312,-83.16241,OH,28,5223,54.55
43410,41.321281,-82.948337,OH,28,5251,54.84
43611,41.698298,-83.486382,OH,28,5279,55.13
44512,41.025158,-80.668667,OH,28,5307,55.43
45356,40.123618,-84.228811,OH,28,5335,55.72
43035,40.187886,-82.987804,OH,27,5362,56.00
43074,40.266029,-82.854334,OH,27,5389,56.28
43219,40.032615,-82.910251,OH,27,5416,56.56
43460,41.60977,-83.56438,OH,27,5443,56.85
45322,39.877005,-84.331945,OH,27,5470,57.13
45424,39.835257,-84.112288,OH,27,5497,57.41
43213,39.972734,-82.832887,OH,26,5523,57.68
44890,41.085173,-82.710562,OH,26,5549,57.95
45014,39.325714,-84.55239,OH,26,5575,58.22
43545,41.355586,-84.123028,OH,25,5600,58.49
43017,40.116621,-83.1305,OH,24,5624,58.74
43212,39.987146,-83.042824,OH,24,5648,58.99
45458,39.606209,-84.169519,OH,24,5672,59.24
45804,40.709622,-84.061155,OH,24,5696,59.49
45891,40.873247,-84.594525,OH,24,5720,59.74
43506,41.47477,-84.55245,OH,23,5743,59.98
45066,39.55228,-84.23327,OH,23,5766,60.22
45429,39.684059,-84.163337,OH,23,5789,60.46
45806,40.654217,-84.150781,OH,23,5812,60.70
43231,40.084463,-82.933811,OH,22,5834,60.93
