PROCEDURE_CODE,DRUG_NAME_WITH_FORM_STRENGTH,DOSAGE_FORM,CLAIM_COUNT,CLAIMS_FREQUENCY_PERCENTAGE,DISTINCT_MEMBERS,MEMBER_PERCENTAGE,TOTAL_BENEFIT_AMOUNT,BENEFIT_PERCENTAGE
57894006103,Stelara 90MG/ML Solution Prefilled Syringe,SOSY,49,0.04%,11,0.02%,"  1,343,530 ",4.77%
00074210001,Skyrizi Pen 150MG/ML Solution Auto-injector,SOAJ,55,0.05%,17,0.03%,"  1,146,074 ",4.07%
50242092201,Hemlibra 105MG/0.7ML Solution,SOLN,18,0.02%,1,0.00%,"  840,915 ",2.99%
00024591502,Dupixent 300MG/2ML Solution Pen-injector,SOAJ,150,0.13%,24,0.04%,"  791,507 ",2.81%
61958250101,Biktarvy 50-200-25MG Tablet,TABS,154,0.13%,23,0.04%,"  707,586 ",2.51%
00169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector,SOPN,629,0.55%,102,0.17%,"  633,527 ",2.25%
00074230630,Rinvoq 15MG Tablet Extended Release 24 HR,TB24,80,0.07%,13,0.02%,"  519,240 ",1.84%
00169418113,Ozempic 2MG/3ML Solution Pen-injector,SOPN,504,0.44%,148,0.25%,"  496,901 ",1.77%
00169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector,SOPN,497,0.43%,124,0.21%,"  493,673 ",1.75%
00074055402,Humira Pen 40MG/0.4ML Pen-injector Kit,AJKT,50,0.04%,7,0.01%,"  406,219 ",1.44%
00003089421,Eliquis 5MG Tablet,TABS,548,0.48%,106,0.18%,"  389,330 ",1.38%
00024591401,Dupixent 300MG/2ML Solution Prefilled Syringe,SOSY,82,0.07%,9,0.02%,"  369,977 ",1.31%
00002149580,Mounjaro 5MG/0.5ML Solution Pen-injector,SOAJ,350,0.30%,114,0.20%,"  366,299 ",1.30%
00597015330,Jardiance 25MG Tablet,TABS,407,0.35%,86,0.15%,"  363,767 ",1.29%
00074107001,Skyrizi 360MG/2.4ML Solution Cartridge,SOCT,17,0.01%,5,0.01%,"  355,915 ",1.26%
00002144511,Taltz 80MG/ML Solution Auto-injector,SOAJ,53,0.05%,7,0.01%,"  339,316 ",1.21%
51167044601,Trikafta 100-50-75 & 75MG Therapy Pack,THPK,10,0.01%,1,0.00%,"  322,879 ",1.15%
00002148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector,SOAJ,301,0.26%,87,0.15%,"  318,560 ",1.13%
00002147180,Mounjaro 10MG/0.5ML Solution Pen-injector,SOAJ,260,0.23%,85,0.15%,"  291,890 ",1.04%
00597015230,Jardiance 10MG Tablet,TABS,363,0.32%,73,0.13%,"  272,015 ",0.97%
00002150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector,SOAJ,249,0.22%,97,0.17%,"  261,689 ",0.93%
50474078185,Bimzelx 160MG/ML Solution Auto-injector,SOAJ,12,0.01%,2,0.00%,"  251,830 ",0.89%
75987005006,Ravicti 1.1GM/ML Liquid,LIQD,3,0.00%,1,0.00%,"  249,630 ",0.89%
55513013760,Otezla 30MG Tablet,TABS,44,0.04%,9,0.02%,"  249,155 ",0.89%
58406003204,Enbrel SureClick 50MG/ML Solution Auto-injector,SOAJ,31,0.03%,6,0.01%,"  239,626 ",0.85%
00002145780,Mounjaro 15MG/0.5ML Solution Pen-injector,SOAJ,205,0.18%,40,0.07%,"  238,494 ",0.85%
61958200201,Descovy 200-25MG Tablet,TABS,58,0.05%,12,0.02%,"  213,907 ",0.76%
08627007701,Dexcom G7 Sensor  Miscellaneous,MISC,577,0.50%,105,0.18%,"  213,727 ",0.76%
57894064011,Tremfya 100MG/ML Solution Pen-injector,SOAJ,15,0.01%,8,0.01%,"  212,271 ",0.75%
00002533754,Verzenio 150MG Tablet,TABS,14,0.01%,2,0.00%,"  207,133 ",0.74%
72618300002,Nurtec 75MG Tablet Disintegrating,TBDP,132,0.11%,40,0.07%,"  192,682 ",0.68%
00002146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector,SOAJ,176,0.15%,56,0.10%,"  190,466 ",0.68%
83457055402,Humira (2 Pen) 40MG/0.4ML Auto-injector kit,AJKT,17,0.01%,4,0.01%,"  182,799 ",0.65%
66215050130,Opsumit 10MG Tablet,TABS,13,0.01%,1,0.00%,"  167,855 ",0.60%
00002447930,Olumiant 4MG Tablet,TABS,28,0.02%,4,0.01%,"  160,007 ",0.57%
66993045730,Dapagliflozin Propanediol 10MG Tablet,TABS,222,0.19%,58,0.10%,"  159,569 ",0.57%
00597014560,Ofev 150MG Capsule,CAPS,12,0.01%,1,0.00%,"  159,302 ",0.57%
00088221905,Lantus SoloStar 100UNIT/ML Solution Pen-injector,SOPN,483,0.42%,139,0.24%,"  158,301 ",0.56%
