PROCEDURE_CODE,DRUG_NAME_WITH_FORM_STRENGTH,DOSAGE_FORM,TOTAL_BENEFIT_AMOUNT,BENEFIT_PERCENTAGE,CLAIM_COUNT,CLAIMS_FREQUENCY_PERCENTAGE,CARE_UUID
169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector,SOPN,"  633,527 ",2.25%,629,0.55%,
8627007701,Dexcom G7 Sensor  Miscellaneous,MISC,"  213,727 ",0.76%,577,0.50%,
3089421,Eliquis 5MG Tablet,TABS,"  389,330 ",1.38%,548,0.48%,
31722072610,Montelukast Sodium 10MG Tablet,TABS,"  11,097 ",0.04%,517,0.45%,wfOSjQZNvGFXZDhwfshA
169418113,Ozempic 2MG/3ML Solution Pen-injector,SOPN,"  496,901 ",1.77%,504,0.44%,
169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector,SOPN,"  493,673 ",1.75%,497,0.43%,
88221905,Lantus SoloStar 100UNIT/ML Solution Pen-injector,SOPN,"  158,301 ",0.56%,483,0.42%,
42806040021,methylPREDNISolone 4MG Tablet Therapy Pack,TBPK,"  3,876 ",0.01%,471,0.41%,care_b7f606eb74d811ec88020ab0a6670aa7
65862050320,Amoxicillin-Pot Clavulanate 875-125MG Tablet,TABS,"  11,891 ",0.04%,463,0.40%,JWEyIyTcpUSOWFSAFBjy
66993001968,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution",AERS,"  22,741 ",0.08%,449,0.39%,care_75e35cefbf6a11eb85aa0ab0a6670aa7
60505082901,Fluticasone Propionate 50MCG/ACT Suspension,SUSP,"  3,394 ",0.01%,436,0.38%,MIzmzCECOeADAwtMzsOE
597015330,Jardiance 25MG Tablet,TABS,"  363,767 ",1.29%,407,0.35%,
57599081800,FreeStyle Libre 3 Sensor  Miscellaneous,MISC,"  46,473 ",0.17%,392,0.34%,care_4c94a2066ac811ed960e0e784fe75791
68180098003,Lisinopril 10MG Tablet,TABS,"  4,890 ",0.02%,384,0.33%,hjyeCVNrAeuSWorDrbUC
93317431,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution",AERS,"  10,290 ",0.04%,381,0.33%,
70954006020,predniSONE 20MG Tablet,TABS,"  2,457 ",0.01%,379,0.33%,care_b7c357bf74d811ec88020ab0a6670aa7
597015230,Jardiance 10MG Tablet,TABS,"  272,015 ",0.97%,363,0.32%,
68382005105,Meloxicam 15MG Tablet,TABS,"  8,002 ",0.03%,363,0.32%,zOcIqZtsVYeoWfkqVGDa
2149580,Mounjaro 5MG/0.5ML Solution Pen-injector,SOAJ,"  366,299 ",1.30%,350,0.30%,
70010049105,metFORMIN HCl ER 500MG Tablet Extended Release 24 HR,TB24,"  5,312 ",0.02%,346,0.30%,care_b88596d774d811ec88020ab0a6670aa7
68180096301,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution",AERS,"  8,181 ",0.03%,333,0.29%,care_283293300a7511ebbe7c0efc77680ba7
172208380,hydroCHLOROthiazide 25MG Tablet,TABS,"  3,223 ",0.01%,333,0.29%,
68462039710,Omeprazole 40MG Capsule Delayed Release,CPDR,"  6,167 ",0.02%,320,0.28%,GgDCKyVKJaRboEIQafbK
2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector,SOAJ,"  318,560 ",1.13%,301,0.26%,
72205002499,Atorvastatin Calcium 40MG Tablet,TABS,"  5,810 ",0.02%,300,0.26%,care_b8b5aaa374d811ec88020ab0a6670aa7
68462015713,Ondansetron 4MG Tablet Disintegrating,TBDP,"  6,443 ",0.02%,299,0.26%,WvopHVpGbZJWJOJrBpgc
68180098103,Lisinopril 20MG Tablet,TABS,"  4,373 ",0.02%,290,0.25%,OvpvkCcMWNTiadycTJfG
31722071310,Pantoprazole Sodium 40MG Tablet Delayed Release,TBEC,"  5,030 ",0.02%,289,0.25%,care_b7e32e3b74d811ec88020ab0a6670aa7
42806054701,Vitamin D (Ergocalciferol) 1.25 MG(50000 UT) Capsule,CAPS,"  3,350 ",0.01%,287,0.25%,care_b7f618f074d811ec88020ab0a6670aa7
57599080000,FreeStyle Libre 2 Sensor  Miscellaneous,MISC,"  29,673 ",0.11%,281,0.24%,care_2fc4485f0a7511ebbe7c0efc77680ba7
13668013610,Escitalopram Oxalate 10MG Tablet,TABS,"  7,732 ",0.03%,274,0.24%,XKboEOhgKDQqjrCWQllr
16571086350,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,TB24,"  9,060 ",0.03%,263,0.23%,care_4c936d046ac811ed960e0e784fe75791
2147180,Mounjaro 10MG/0.5ML Solution Pen-injector,SOAJ,"  291,890 ",1.04%,260,0.23%,
69097083412,Sertraline HCl 50MG Tablet,TABS,"  9,667 ",0.03%,257,0.22%,VNHwquBfAoEfxNrHMxkB
16571086250,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,TB24,"  8,185 ",0.03%,253,0.22%,care_4c936c916ac811ed960e0e784fe75791
2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector,SOAJ,"  261,689 ",0.93%,249,0.22%,
13668013710,Escitalopram Oxalate 20MG Tablet,TABS,"  8,526 ",0.03%,248,0.22%,TarHiCCwrwOZPjosIOgG
55111064505,Omeprazole 40MG Capsule Delayed Release,CPDR,"  5,220 ",0.02%,248,0.22%,ftUlucxnscsOcpzAsJUs
29300039810,amLODIPine Besylate 10MG Tablet,TABS,"  3,003 ",0.01%,233,0.20%,care_b7e274ba74d811ec88020ab0a6670aa7
68180097903,Lisinopril 40MG Tablet,TABS,"  3,757 ",0.01%,228,0.20%,care_b86c4a7874d811ec88020ab0a6670aa7
67877015905,metFORMIN HCl ER 500MG Tablet Extended Release 24 HR,TB24,"  3,740 ",0.01%,225,0.20%,bkgJCyPLkdAwVQGUtumu
66993045730,Dapagliflozin Propanediol 10MG Tablet,TABS,"  159,569 ",0.57%,222,0.19%,care_df9a51c3-d435-4418-ae12-992bfafd5cb5
29300039710,amLODIPine Besylate 5MG Tablet,TABS,"  2,338 ",0.01%,222,0.19%,care_b7e271b674d811ec88020ab0a6670aa7
69097083512,Sertraline HCl 100MG Tablet,TABS,"  6,548 ",0.02%,221,0.19%,AfKUVVSyqguDQsFSXByB
8627005303,Dexcom G6 Sensor  Miscellaneous,MISC,"  68,825 ",0.24%,210,0.18%,
65862056099,Pantoprazole Sodium 40MG Tablet Delayed Release,TBEC,"  3,140 ",0.01%,207,0.18%,GeMLGKQTVTfsKeifwuCQ
2145780,Mounjaro 15MG/0.5ML Solution Pen-injector,SOAJ,"  238,494 ",0.85%,205,0.18%,
69452015120,Vitamin D (Ergocalciferol) 1.25 MG(50000 UT) Capsule,CAPS,"  2,384 ",0.01%,203,0.18%,ueegEzKGfaRLvpNGZYKO
42806041405,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,TB24,"  6,563 ",0.02%,201,0.17%,care_295d4399992711eebd2d0ef87dacedbf
67877021905,Cephalexin 500MG Capsule,CAPS,"  2,914 ",0.01%,200,0.17%,VqeEdkXKlUzQfegPmsbt
27808023302,Doxycycline Hyclate 100MG Capsule,CAPS,"  4,810 ",0.02%,198,0.17%,care_b7e22de574d811ec88020ab0a6670aa7
57237000511,Fluconazole 150MG Tablet,TABS,"  6,453 ",0.02%,191,0.17%,iaYzJxcQGVwVWcKrOawO
54327099,Fluticasone Propionate 50MCG/ACT Suspension,SUSP,"  1,459 ",0.01%,185,0.16%,
65862000899,metFORMIN HCl 500MG Tablet,TABS,"  2,125 ",0.01%,182,0.16%,NrnXkbqefFxpwXNiAJlG
31722070210,Losartan Potassium 100MG Tablet,TABS,"  3,306 ",0.01%,181,0.16%,iYcqXuXyNDdtXhUypYYr
69097014260,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution",AERS,"  3,479 ",0.01%,180,0.16%,care_b883170174d811ec88020ab0a6670aa7
29300012810,hydroCHLOROthiazide 25MG Tablet,TABS,"  1,661 ",0.01%,179,0.16%,uYXlohPwYySKntBTnUZM
2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector,SOAJ,"  190,466 ",0.68%,176,0.15%,
