zip_code,procedure_code
30002,2145780
30002,2146080
30002,2147180
30002,2148480
30002,2149580
30002,2150680
30002,2771559
30002,169413013
30002,169418113
30002,169477212
30002,406012301
30002,13668013610
30002,13668013710
30002,43547028211
30002,70954006020
30004,2145780
30004,2146080
30004,2147180
30004,2148480
30004,2149580
30004,2150680
30004,2771559
30004,169413013
30004,169418113
30004,169477212
30004,406012301
30004,13668013610
30004,13668013710
30004,43547028211
30004,70954006020
30005,2145780
30005,2146080
30005,2147180
30005,2148480
30005,2149580
30005,2150680
30005,2771559
30005,169413013
30005,169418113
30005,169477212
30005,406012301
30005,13668013610
30005,13668013710
30005,43547028211
30005,70954006020
30006,2145780
30006,2146080
30006,2147180
30006,2148480
30006,2149580
30006,2150680
30006,2771559
30006,169413013
30006,169418113
30006,169477212
30006,406012301
30006,13668013610
30006,13668013710
30006,43547028211
30006,70954006020
30007,2145780
30007,2146080
30007,2147180
30007,2148480
30007,2149580
30007,2150680
30007,2771559
30007,169413013
30007,169418113
30007,169477212
30007,406012301
30007,13668013610
30007,13668013710
30007,43547028211
30007,70954006020
30008,2145780
30008,2146080
30008,2147180
30008,2148480
30008,2149580
30008,2150680
30008,2771559
30008,169413013
30008,169418113
30008,169477212
30008,406012301
30008,70954006020
30009,2145780
30009,2146080
30009,2147180
30009,2148480
30009,2149580
30009,2150680
30009,2771559
30009,169413013
30009,169418113
30009,169477212
30009,406012301
30009,70954006020
30011,2145780
30011,2146080
30011,2147180
30011,2148480
30011,2149580
30011,2150680
30011,2771559
30011,169413013
30011,169418113
30011,169477212
30011,406012301
30011,70954006020
30012,2145780
30012,2146080
30012,2147180
30012,2148480
30012,2149580
30012,2150680
30012,2771559
30012,169413013
30012,169418113
30012,169477212
30012,406012301
30012,70954006020
30013,2145780
30013,2146080
30013,2147180
30013,2148480
30013,2149580
30013,2150680
30013,2771559
30013,169413013
30013,169418113
30013,169477212
30013,406012301
30013,70954006020
30014,2145780
30014,2146080
30014,2147180
30014,2148480
30014,2149580
30014,2150680
30014,2771559
30014,169413013
30014,169418113
30014,169477212
30014,406012301
30014,70954006020
30016,2145780
30016,2146080
30016,2147180
30016,2148480
30016,2149580
30016,2150680
30016,2771559
30016,169413013
30016,169418113
30016,169477212
30016,406012301
30016,70954006020
30017,2145780
30017,2146080
30017,2147180
30017,2148480
30017,2149580
30017,2150680
30017,2771559
30017,169413013
30017,169418113
30017,169477212
30017,406012301
30017,13668013610
30017,13668013710
30017,43547028211
30017,70954006020
30019,2145780
30019,2146080
30019,2147180
30019,2148480
30019,2149580
30019,2150680
30019,2771559
30019,169413013
30019,169418113
30019,169477212
30019,406012301
30019,70954006020
30021,2145780
30021,2146080
30021,2147180
30021,2148480
30021,2149580
30021,2150680
30021,2771559
30021,169413013
30021,169418113
30021,169477212
30021,406012301
30021,70954006020
30022,2145780
30022,2146080
30022,2147180
30022,2148480
30022,2149580
30022,2150680
30022,2771559
30022,169413013
30022,169418113
30022,169477212
30022,406012301
30022,13668013610
30022,13668013710
30022,43547028211
30022,70954006020
30024,2145780
30024,2146080
30024,2147180
30024,2148480
30024,2149580
30024,2150680
30024,2771559
30024,169413013
30024,169418113
30024,169477212
30024,406012301
30024,70954006020
30025,2145780
30025,2146080
30025,2147180
30025,2148480
30025,2149580
30025,2150680
30025,2771559
30025,54327099
30025,169413013
30025,169418113
30025,169477212
30025,310737020
