zip_code,procedure_code,drug_name
30002,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30002,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30002,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30002,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30002,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30002,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30002,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30002,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30002,169418113,Ozempic 2MG/3ML Solution Pen-injector
30002,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30002,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30002,13668013610,Escitalopram Oxalate 10MG Tablet
30002,13668013710,Escitalopram Oxalate 20MG Tablet
30002,43547028211,Escitalopram Oxalate 20MG Tablet
30002,70954006020,predniSONE 20MG Tablet
30004,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30004,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30004,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30004,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30004,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30004,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30004,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30004,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30004,169418113,Ozempic 2MG/3ML Solution Pen-injector
30004,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30004,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30004,13668013610,Escitalopram Oxalate 10MG Tablet
30004,13668013710,Escitalopram Oxalate 20MG Tablet
30004,43547028211,Escitalopram Oxalate 20MG Tablet
30004,70954006020,predniSONE 20MG Tablet
30005,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30005,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30005,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30005,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30005,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30005,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30005,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30005,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30005,169418113,Ozempic 2MG/3ML Solution Pen-injector
30005,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30005,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30005,13668013610,Escitalopram Oxalate 10MG Tablet
30005,13668013710,Escitalopram Oxalate 20MG Tablet
30005,43547028211,Escitalopram Oxalate 20MG Tablet
30005,70954006020,predniSONE 20MG Tablet
30006,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30006,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30006,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30006,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30006,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30006,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30006,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30006,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30006,169418113,Ozempic 2MG/3ML Solution Pen-injector
30006,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30006,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30006,13668013610,Escitalopram Oxalate 10MG Tablet
30006,13668013710,Escitalopram Oxalate 20MG Tablet
30006,43547028211,Escitalopram Oxalate 20MG Tablet
30006,70954006020,predniSONE 20MG Tablet
30007,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30007,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30007,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30007,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30007,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30007,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30007,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30007,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30007,169418113,Ozempic 2MG/3ML Solution Pen-injector
30007,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30007,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30007,13668013610,Escitalopram Oxalate 10MG Tablet
30007,13668013710,Escitalopram Oxalate 20MG Tablet
30007,43547028211,Escitalopram Oxalate 20MG Tablet
30007,70954006020,predniSONE 20MG Tablet
30008,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30008,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30008,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30008,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30008,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30008,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30008,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30008,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30008,169418113,Ozempic 2MG/3ML Solution Pen-injector
30008,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30008,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30008,70954006020,predniSONE 20MG Tablet
30009,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30009,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30009,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30009,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30009,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30009,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30009,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30009,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30009,169418113,Ozempic 2MG/3ML Solution Pen-injector
30009,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30009,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30009,70954006020,predniSONE 20MG Tablet
30011,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30011,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30011,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30011,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30011,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30011,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30011,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30011,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30011,169418113,Ozempic 2MG/3ML Solution Pen-injector
30011,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30011,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30011,70954006020,predniSONE 20MG Tablet
30012,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30012,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30012,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30012,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30012,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30012,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30012,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30012,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30012,169418113,Ozempic 2MG/3ML Solution Pen-injector
30012,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30012,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30012,70954006020,predniSONE 20MG Tablet
30013,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30013,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30013,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30013,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30013,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30013,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30013,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30013,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30013,169418113,Ozempic 2MG/3ML Solution Pen-injector
30013,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30013,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30013,70954006020,predniSONE 20MG Tablet
30014,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30014,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30014,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30014,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30014,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30014,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30014,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30014,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30014,169418113,Ozempic 2MG/3ML Solution Pen-injector
30014,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30014,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
30014,70954006020,predniSONE 20MG Tablet
30016,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
30016,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
30016,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
30016,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
30016,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
30016,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
30016,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
30016,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
30016,169418113,Ozempic 2MG/3ML Solution Pen-injector
30016,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
30016,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
