zip_code,procedure_code,drug_name
31906,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
31906,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
31906,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
31906,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
31906,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
31906,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
31906,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
31906,3089421,Eliquis 5MG Tablet
31906,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
31906,169418113,Ozempic 2MG/3ML Solution Pen-injector
31906,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
31906,70954006020,predniSONE 20MG Tablet
37209,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
37209,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
37209,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
37209,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
37209,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
37209,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
37209,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
37209,3089421,Eliquis 5MG Tablet
37209,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
37209,169418113,Ozempic 2MG/3ML Solution Pen-injector
37209,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
37209,13668013610,Escitalopram Oxalate 10MG Tablet
37209,13668013710,Escitalopram Oxalate 20MG Tablet
37209,43547028211,Escitalopram Oxalate 20MG Tablet
37209,70954006020,predniSONE 20MG Tablet
41011,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
41011,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
41011,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
41011,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
41011,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
41011,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
41011,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
41011,3089421,Eliquis 5MG Tablet
